lesson_id,lesson_title,video_base_url
013,"Πλάγια ελαστική κρούση με ακλόνητο τοίχο. Είναι το τελευταίο μέρος της θεωρίας του σχολικού στη σελίδα 158, να διαβάσετε την αντίστοιχη θεωρία από το βοήθημα τις σελίδες 54 και 55.",https://youtu.be/HiG498u90XA
014α,Άσκηση 2.270 Παν που αφορά πλάγια κρούση σε πρόσοψη.,https://youtu.be/KjW-VZ0BBZE
014β,"Άσκηση 2.93 Παν επαν που αφορά κατακόρυφη ανακύκλωση (ανακύκληση) υλικού σημείου με νήμα.Mέχρι 31:20 στα μαθήματα της εβδομάδας,το ολοκληρώνουμε το Σάββατο",https://youtu.be/ArN1wXjsayU
015,"Εισαγωγή στην απλή αρμονική ταλάντωση. Θέση αδιάφορης ,ευσταθής και ασταθής ισορροπίας.",https://youtu.be/AO_f5kIr5iI
016,"α) Αναφέρουμε τους 2 ορισμούς για την απλή αρμονική ταλάντωση ( δυναμικός και κινηματικός) και τις χρονικές εξισώσεις στην αατ,",https://youtu.be/GJKrXF_1eHw
016β,"Δυναμική μελέτη της αατ ,τύποι για την περίοδο και την συχνότητα καθώς και η άσκηση 2.239.",https://youtu.be/9RBgI7ik_-Q
017,"Έργο δύναμης , στοιχειώδες έργο και εμβαδόν της επιφάνειας σε διάγραμμα F- x. Απόδειξη της σχέσης για τη δυναμική ενέργεια του σώματος που ταλαντώνεται.",https://youtu.be/h94to2dS_AE
018,Ενεργειακή μελέτη της αατ και οι χρονοεξισώσεις όλων των μεγεθών στην αατ,https://youtu.be/AiCCuh6Kfz4
019,"Σχέσεις των στιγμιαίων τιμών μεταξύ των μεγεθών x,v,α,F στην αατ. Εφαρμογή της ΑΔΕΤ για τον υπολογισμό της x ή της v όταν δίνεται σχέση της K με την Uτ.",https://youtu.be/Kmron_ftJzE
020,Η έννοια της αρχικής φάσης και εφαρμογή της μεθοδολογίας για τον υπολογισμό της.(Α μέρος),https://youtu.be/dXAgMSWiIig
021,Υπολογισμός αρχικής φάσης ( Β μέρος).,https://youtu.be/hJEHtEap2zM
022,"Γραφικές παραστάσεις στην αατ. i.) x,v,a= f( t) και ανάκριση διαγραμμάτων .(σε ξεχωριστό pdf)",https://youtu.be/m-hwwuwAGFo
023,"Γραφικές παραστάσεις στην αατ iii) K,U,E =f(x) και iv) K,U,E = f(v) .",https://youtu.be/7h1VSVbQGCc
024,"Κάνουμε το μάθημα αυτό πριν το ερώτησμα στ του Μ 4 στα κύματα. Γραφικές παραστάσεις στην αατ: ii) K,U,E= f( t) ,v) F= f( x) και vii) φ=f(t) .",https://youtu.be/pRGj6NqvOlY
025,Υπολογισμός του έργου μιας δύναμης που ασκείται σε υλικό σημείο.,https://youtu.be/cL3uT3Q3eD8
026,"Ρυθμοί μεταβολής της ορμής, της κινητικής και της δυναμικής ενέργειας.",https://youtu.be/y26YBEJFWjQ
028,Σώματα που εκτελούν αατ : 1. Σώμα στερεωμένο στο ελεύθερο άκρο κατακόρυφου ιδανικού ελατηρίου. 2. Σώμα στερεωμένο στο ελεύθερο άκρο οριζόντιου ελατηρίου.,https://youtu.be/5v1GDKWgbU4
029,Απόδειξη αατ-- 4. Σώμα στερεωμένο στο ελεύθερο άκρο πλάγιου ιδανικού ελατηρίου.,https://youtu.be/PwWrctEDk4M
030,Απόδειξη της αατ 5α) Σώμα στερεωμένο σε 2 οριζόντια ιδανικά ελατήρια με σταθερές Κ1 και Κ2.,https://youtu.be/HDTv7NF461A
031,Άσκηση 1.38 σχολικού στη σελίδα 38- μέχρι το ερώτημα 3 από τις επεκτάσεις.,https://youtu.be/7ry8qIjK3ds
032,Άσκηση 1.38 σχολικού στη σελίδα 38 με τα ερωτήματα 4α και 4β.Ανέβασα και ξεχωριστό βίντεο για την χωροεξάρτηση της δύναμης του ελατηρίοu,
032β,Χωροεξάρτηση και χρονοεξάρτηση της δύναμης του ελατηρίου — συμπληρωματικό βίντεο,https://youtu.be/a2sAR9UdYlY
033,Τριγωνομετρικός κύκλος- Ανυσματικό διάγραμμα ( πολικές συντεταγμένες) και αντιστοιχία φάσεων και απομακρυσμένων από τη θέση ισορροπίας. Β μέρος : Άσκηση 1.38 σχολικού τα ερωτήματα 4β( Fελ-t) και 5α.,https://youtu.be/NMZMRfA4jiY
034,Άσκηση 1.38 . Υπολογισμός χρονικής στιγμής και διάρκειας στην αατ. Ερώτημα 5β. Εξάσκηση στην εύρεση χρονικών στιγμών και χρονικής διάρκειας.,https://youtu.be/SrT1PT-iJ3M
035,Άσκηση 1.38 σχολικού ερωτήματα 6α και 6β που αφορούν εύρευση χρονοκής διάρκειας με ανισώσεις και απόλυτες τιμές.Πώς και σε ποιές περιπτώσεις χρησιμοποιούμε το ανυσματικό διάγραμμα.,https://youtu.be/0Ny8KX3HYtk
036,"Άσκηση 1.38 σχολικού ερωτήματα 7α(σχέση διαστημάτων),7β και 8(i,ii,iii,iv,v).",https://youtu.be/eBnAI69lGq8
037,Άσκηση 4.182 Παν στη σελίδα 414 (4.187 Παν old)) που αφορά την ενεργοποίηση αατ μετά από κρούση. Επίσης στα έγγραφα του μαθήματος υπάρχει και η γενική μεθοδολογία που ακολουθούμε για την ενεργοποίηση μιας απλής αρμονικής ταλάντωσης.,https://youtu.be/2ovEBtdZJrI
038,Άσκηση 3.196 Παν επαναναληπτικό βοήθημα( φωτοτυπία). Οι εκφωνήσεις των ασκήσεων(και των λύσεων) του Παν επάν (επαναληπτικό) βρίσκονται στον αριθμό 8 του αρχικού καταλόγου.,https://youtu.be/Ew3ElszvE24
039,Άσκηση 4.167 Παν(σελ. 403)- Ενεργοποίηση αατ μετά το κόψιμο νήματος η οποία θα τη λύνετε μετά την άσκηση 3.196 Παν επαν που αφορά το μάθημα 38,https://youtu.be/NFVINBwYd3Q
040,Άσκηση 2.272 Παν( σελ 194) - μεθοδολογία στις πλάγιες κρούσεις,https://youtu.be/uQkbHqy5yl8
041,Άσκηση 4.246 Παν στη σελίδα 463 (4.252 old): Πλάγια κρούση και ταλάντωση με οριζόντια ταχύτητα του ελεύθερου σώματος.,https://youtu.be/fueEEHeUyrk
042,"Άσκηση 4.247 Παν (4.253 old), πλάγια κρούση και ταλάντωση με κατακόρυφη την ταχύτητα του ""ελεύθερου "" σώματος..Ανέβασα ένα βίντεο και για την άσκηση 4.248 Παν (4.254 old)",https://youtu.be/jgXxDvkBsyQ
043,Άσκηση 3.199 Παν. επαν(έκρηξη με πουλάκι) που αφορά τη μεθοδολογία μας για την έκρηξη.,https://youtu.be/IJ2_A50LOKY
044,Άσκηση 4.101 Παν. Ενεργοποίηση ταλάντωσης με σταθερή δύναμη που καταργείται,https://youtu.be/SFlF44T2QIc
045,Άσκηση 4.175 Παν (4.180 old) που αφορά την ενεργοποίηση ταλάντωσης με μεταβλητή δύναμη που καταργείται.,https://youtu.be/oh505Qy-97A
046,"Είναι η θεωρία για τις φθίνουσες ταλαντώσεις. Από το σχολικό να διαβάσετε πολύ καλά τις σελίδες 17,18,19 και 20. Να απαντήσετε γραπτά στις 10 ερωτήσεις και να ξέρετε τις απαντήσεις και προφορικά",https://youtu.be/J8zIT7GN2e0
047,Ασκήσεις 3.172 και 3.173 από το επαναληπτικό βοήθημα του Παναγιωτακόπουλου (Παν επαν).,https://youtu.be/-lmIvBt5d04
049,"Είναι η θεωρία για τις εξαναγκασμένες ταλαντώσεις. Από το σχολικό να δαβάσετε πολύ καλά τις σελίδες 21,22,23 και 24.",https://youtu.be/bzDY7-Yvga4
050α,"Άσκηση 3.192 Παν. επαν που αφορά ταλάντωση με σταθερή δύναμη F. Απόδειξη της αατ με τους 2 τρόπους (να κάνετε επανάληψη των μαθημάτων 28,29 και 30)",https://youtu.be/wm9aN3IocoA
051,"Όλες οι περιπτώσεις απώλειας επαφής στην α.α.τ. Άσκηση 1.46 σχολικού σελίδα 40 και άσκηση 28 Δημόπουλος περιπτώσεις Α1,Α2 και Α3).",https://youtu.be/-ItJ2Zzxd9A
052,(112 επανάληψη old) :Άσκηση 3. 204 Παν επάν που αφορά την απόσπαση ενός σώματος που ισορροπεί στο έδαφος ή βαράκι με ελατήριο.,https://youtu.be/QO3rTb62cio
061,Άσκηση Μαλακασιώτης -αατ με σταθερή F σε πλάγιο που δεν καταργείται.(εδώ θα βρείτε και το pdf των 2 τελευταίων ερωτημάτων),https://youtu.be/5ODz5lWlGuA
